sk_vuln,vuln_id,cve_id,system,vendor,vulnerability_type,cvss_score,cvss_severity,estado_parche,prioridad_remediacion,dias_desde_descubrimiento,affected_hosts,exploited_in_wild
1,1,CVE-2024-29772,Apache 2.4,Apache Foundation,Denial Of Service,5.2,Medium,Aplicado,Media,652,6,False
2,2,CVE-2024-19156,Python 3.8,PostgreSQL Global Dev Group,Buffer Overflow,3.9,Low,Aplicado,Baja,610,4,False
3,3,CVE-2023-82963,nginx 1.18,PostgreSQL Global Dev Group,Remote Code Execution,8.9,High,Aplicado,Inmediata,853,24,True
4,4,CVE-2022-18229,Python 3.8,OpenSSL Project,Information Disclosure,6.5,Medium,Sin parche,Media,614,20,False
5,5,CVE-2023-41994,nginx 1.18,Python Software Foundation,Information Disclosure,2.7,Low,Disponible,Baja,626,33,False
6,6,CVE-2023-54833,PostgreSQL 13,PostgreSQL Global Dev Group,Buffer Overflow,3.2,Low,Disponible,Baja,728,39,False
7,7,CVE-2022-69795,Apache 2.4,Nginx Inc,Information Disclosure,2.6,Low,Disponible,Baja,558,19,False
8,8,CVE-2022-55482,PostgreSQL 13,Nginx Inc,Remote Code Execution,2.2,Low,Aplicado,Baja,777,26,False
9,9,CVE-2024-20561,PostgreSQL 13,Python Software Foundation,Privilege Escalation,3.3,Low,Disponible,Baja,554,44,False
10,10,CVE-2023-29781,OpenSSL 1.1,OpenSSL Project,Authentication Bypass,2.7,Low,Disponible,Baja,623,19,True
11,11,CVE-2023-64912,Python 3.8,Python Software Foundation,Privilege Escalation,6.3,Medium,Aplicado,Media,662,26,False
12,12,CVE-2024-23570,PostgreSQL 13,Apache Foundation,Remote Code Execution,5.9,Medium,Disponible,Media,839,39,True
13,13,CVE-2023-10030,Python 3.8,Apache Foundation,Privilege Escalation,6.5,Medium,Disponible,Media,792,10,False
14,14,CVE-2024-88941,Apache 2.4,Apache Foundation,Information Disclosure,4.9,Medium,Sin parche,Media,867,48,False
15,15,CVE-2022-44702,Django 3.2,OpenSSL Project,Denial Of Service,5.8,Medium,Disponible,Media,647,45,True
16,16,CVE-2022-49071,Node.js 14,Apache Foundation,Authentication Bypass,9.8,Critical,Aplicado,Urgente,726,35,False
17,17,CVE-2022-39234,Node.js 14,OpenSSL Project,Remote Code Execution,6.9,Medium,Aplicado,Media,795,23,True
18,18,CVE-2023-46623,OpenSSL 1.1,Python Software Foundation,Privilege Escalation,5.8,Medium,Sin parche,Media,748,7,False
19,19,CVE-2024-35782,PostgreSQL 13,Python Software Foundation,Denial Of Service,4.7,Medium,Disponible,Media,595,25,False
20,20,CVE-2024-33399,Django 3.2,Nginx Inc,Buffer Overflow,5.5,Medium,Aplicado,Media,562,9,True
21,21,CVE-2023-87438,Node.js 14,OpenSSL Project,Denial Of Service,9.2,Critical,Sin parche,Inmediata,825,2,True
22,22,CVE-2022-95154,Django 3.2,OpenSSL Project,Information Disclosure,2.8,Low,Aplicado,Baja,894,19,False
23,23,CVE-2022-52728,PostgreSQL 13,OpenSSL Project,Buffer Overflow,4.1,Medium,Disponible,Media,654,34,True
24,24,CVE-2024-34000,Node.js 14,OpenSSL Project,Remote Code Execution,6.9,Medium,Aplicado,Media,657,44,False
25,25,CVE-2023-83439,OpenSSL 1.1,Nginx Inc,Buffer Overflow,2.5,Low,Aplicado,Baja,857,40,False
26,26,CVE-2022-46331,Python 3.8,PostgreSQL Global Dev Group,Denial Of Service,5.6,Medium,Disponible,Media,652,9,False
27,27,CVE-2023-61427,Apache 2.4,OpenSSL Project,Information Disclosure,5.5,Medium,Disponible,Media,756,50,False
28,28,CVE-2022-94339,OpenSSL 1.1,Nginx Inc,Remote Code Execution,7.3,High,Sin parche,Alta,859,11,False
29,29,CVE-2023-66560,PostgreSQL 13,Nginx Inc,Information Disclosure,10.0,Critical,Aplicado,Urgente,556,22,False
30,30,CVE-2024-12370,Python 3.8,Python Software Foundation,Privilege Escalation,5.1,Medium,Disponible,Media,808,17,False
